AniListID,MalID,title,description,genres,tags,score,episodes,status,type,siteUrl,studios
16498,16498.0,Attack on Titan,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans.<br><br>
Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.<br><br>
(Source: MangaHelpers) ","['Action', 'Drama', 'Fantasy', 'Mystery']","['Kaiju', 'Revenge', 'Tragedy', 'Military', 'Post-Apocalyptic', 'Primarily Teen Cast', 'Super Power', 'Male Protagonist', 'Henshin', 'Gore', 'Swordplay', 'Memory Manipulation', 'Steampunk', 'Dystopian', 'Vore', 'Ensemble Cast', 'Orphan', 'Espionage', 'Cannibalism', 'Kuudere', 'Shounen', 'Coming of Age', 'Suicide', 'Survival', 'Medieval', 'Time Skip', 'Amnesia', 'Rural', 'CGI', 'Primarily Male Cast', 'Adoption']",85.0,25.0,FINISHED,ANIME,https://anilist.co/anime/16498,['WIT STUDIO']
101922,38000.0,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.<br>
<br>
(Source: Crunchyroll)","['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']","['Demons', 'Shounen', 'Swordplay', 'Male Protagonist', 'Vampire', 'Tragedy', 'Primarily Teen Cast', 'Travel', 'Monster Girl', 'Revenge', 'Orphan', 'CGI', 'Gore', 'Primarily Male Cast', 'Mythology', 'Rural', 'Slapstick', 'Historical', 'Super Power', 'Rotoscoping', 'Body Horror', 'Curses', 'Chibi', 'Time Skip', 'Snowscape', 'Animals', 'Food']",82.0,26.0,FINISHED,ANIME,https://anilist.co/anime/101922,['ufotable']
1535,1535.0,Death Note,"Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a <i>Death Note</i>, Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power?<br>
<br>
The consequences of Light’s actions will set the world ablaze.<br>
<br>
(Source: Viz Media)","['Mystery', 'Psychological', 'Supernatural', 'Thriller']","['Crime', 'Detective', 'Anti-Hero', 'Male Protagonist', 'Police', 'Fugitive', 'Philosophy', 'Primarily Adult Cast', 'Kuudere', 'Gods', 'Memory Manipulation', 'Urban Fantasy', 'Primarily Male Cast', 'Urban', 'Unrequited Love', 'Amnesia', 'Yandere', 'Espionage', 'Shounen', 'Suicide', 'Tragedy', 'Acting', 'Tennis', 'Time Skip', 'Assassins', 'Achronological Order', 'Asexual']",84.0,37.0,FINISHED,ANIME,https://anilist.co/anime/1535,['MADHOUSE']
113415,40748.0,JUJUTSU KAISEN,"A boy fights... for ""the right death.""<br>
<br>
Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse.<br>
<br>
Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back.
<br><br>
(Source: Crunchyroll)<br>
<br>
<i>Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.</i>","['Action', 'Drama', 'Supernatural']","['Urban Fantasy', 'Shounen', 'Youkai', 'Super Power', 'Curses', 'Male Protagonist', 'Primarily Teen Cast', 'Exorcism', 'Dissociative Identities', 'Demons', 'Orphan', 'Urban', 'Body Horror', 'Magic', 'Martial Arts', 'Primarily Male Cast', 'Ensemble Cast', 'Shapeshifting', 'Gore', 'School', 'Swordplay', 'Anthropomorphism', 'Rotoscoping', 'Slapstick', 'Mythology', 'Surreal Comedy', 'Twins', 'Boarding School', 'Baseball']",84.0,24.0,FINISHED,ANIME,https://anilist.co/anime/113415,['MAPPA']
21459,31964.0,My Hero Academia,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless?<br><br>

Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny…<br><br>

(Source: Viz Media)","['Action', 'Adventure', 'Comedy']","['Super Power', 'Superhero', 'Shounen', 'Primarily Teen Cast', 'Male Protagonist', 'Urban Fantasy', 'School', 'Ensemble Cast', 'Coming of Age', 'Bullying', 'Cultivation', 'Primarily Male Cast', 'Prison']",76.0,13.0,FINISHED,ANIME,https://anilist.co/anime/21459,['bones']
11061,11061.0,Hunter x Hunter (2011),"A new adaption of the manga of the same name by Togashi Yoshihiro.<br><br>
A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him.<br><br>
After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapika, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.","['Action', 'Adventure', 'Fantasy']","['Shounen', 'Super Power', 'Male Protagonist', 'Tragedy', 'Martial Arts', 'Ensemble Cast', 'Travel', 'Philosophy', 'Primarily Male Cast', 'Revenge', 'Chimera', 'Primarily Teen Cast', 'Crime', 'Virtual World', 'Anthropomorphism', 'Assassins', 'Urban Fantasy', 'Environmental', 'Coming of Age', 'Mafia', 'Anti-Hero', 'Card Battle', 'Gangs', 'Body Horror', 'Transgender', 'Animals', 'Politics', 'Shogi', 'Video Games', 'Board Game', 'Yandere']",89.0,148.0,FINISHED,ANIME,https://anilist.co/anime/11061,['MADHOUSE']
21087,30276.0,One-Punch Man,"Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch.
<br><br>
The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.   

","['Action', 'Comedy', 'Sci-Fi', 'Supernatural']","['Superhero', 'Super Power', 'Parody', 'Male Protagonist', 'Satire', 'Urban Fantasy', 'Surreal Comedy', 'Urban', 'Cyborg', 'Primarily Adult Cast', 'Kaiju', 'Seinen', 'Aliens', 'Cultivation', 'Primarily Male Cast', 'Gods', 'Martial Arts', 'Demons', 'Henshin']",83.0,12.0,FINISHED,ANIME,https://anilist.co/anime/21087,['MADHOUSE']
20605,22319.0,Tokyo Ghoul,"The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight.
<br><br>
(Source: Anime News Network)","['Action', 'Drama', 'Horror', 'Mystery', 'Psychological', 'Supernatural']","['Gore', 'Urban Fantasy', 'Tragedy', 'Survival', 'Body Horror', 'Torture', 'Male Protagonist', 'Seinen', 'Anti-Hero', 'Coming of Age', 'Cannibalism', 'Urban', 'Police', 'Detective', 'Crime', 'Henshin', 'Primarily Adult Cast', 'Mythology', 'College', 'Heterosexual', 'Military']",75.0,12.0,FINISHED,ANIME,https://anilist.co/anime/20605,['Studio Pierrot']
20958,25777.0,Attack on Titan Season 2,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!<br><br>

(Source: Funimation)","['Action', 'Drama', 'Fantasy', 'Mystery']","['Survival', 'Post-Apocalyptic', 'Shapeshifting', 'Tragedy', 'Espionage', 'Military', 'Kaiju', 'Dystopian', 'Primarily Teen Cast', 'Gore', 'Revenge', 'Politics', 'Henshin', 'Anti-Hero', 'Ensemble Cast', 'Super Power', 'Shounen', 'Male Protagonist', 'Incest', 'Cult', 'Kuudere', 'Dissociative Identities', 'Coming of Age', 'Steampunk', 'Cannibalism', 'Primarily Male Cast', 'CGI', 'Swordplay', 'Primarily Adult Cast', 'Unrequited Love', 'Matriarchy', 'Rural', 'Medieval']",84.0,12.0,FINISHED,ANIME,https://anilist.co/anime/20958,['WIT STUDIO']
21,21.0,ONE PIECE,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.<br><br>
Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.<br><br>
<b>*This includes following special episodes:</b><br>
- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)<br>
- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)<br>
- Team Formation! Save Chopper (Episode 542)<br>
- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)<br>
- 20th Anniversary! Special Romance Dawn (Episode 907)","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']","['Pirates', 'Travel', 'Shounen', 'Ensemble Cast', 'Super Power', 'Found Family', 'Male Protagonist', 'Ships', 'Conspiracy', 'Slapstick', 'Tragedy', 'Time Skip', 'Politics', 'War', 'Slavery', 'Dystopian', 'Fugitive', 'Crime', 'Gods', 'Philosophy', 'Swordplay', 'Lost Civilization', 'Monster Boy', 'Henshin', 'Prison', 'Anthropomorphism', 'Food', 'Shapeshifting', 'Cyborg', 'Robots', 'Primarily Adult Cast', 'Medicine', 'Samurai', 'Animals', 'Guns', 'Desert', 'Skeleton', 'Anti-Hero', 'Anachronism', 'Asexual', 'Espionage', 'Dragons', 'Monster Girl', 'Marriage', 'Artificial Intelligence', 'Demons', 'Post-Apocalyptic', 'Drugs', 'Fairy', 'Kuudere', 'Assassins', 'Battle Royale', 'Revenge', 'Aromantic', 'Ninja', 'Adoption', 'Nudity', 'Mermaid', 'Gender Bending', 'Time Manipulation', 'Clone', 'Musical Theater', 'Arranged Marriage', 'Zombie', 'Angels', 'Trains', 'CGI', 'Unrequited Love', 'Kabuki']",88.0,,RELEASING,ANIME,https://anilist.co/anime/21,['Toei Animation']
5114,5114.0,Fullmetal Alchemist: Brotherhood,"""In order for something to be obtained, something of equal value must be lost.""
<br><br>
Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.
<br><br>
Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.
<br><br>
(Source: MAL Rewrite)","['Action', 'Adventure', 'Drama', 'Fantasy']","['Alchemy', 'Conspiracy', 'Military', 'War', 'Tragedy', 'Shounen', 'Politics', 'Male Protagonist', 'Philosophy', 'Ensemble Cast', 'Coming of Age', 'Fugitive', 'Super Power', 'Foreign', 'Gods', 'Steampunk', 'Disability', 'Cyborg', 'Revenge', 'Necromancy', 'Lost Civilization', 'Anachronism', 'Chimera', 'Dissociative Identities', 'Religion', 'Travel', 'Primarily Male Cast', 'Gore', 'Body Horror', 'Slapstick', 'Urban Fantasy', 'Kuudere', 'Shapeshifting', 'Guns', 'Demons', 'Chibi', 'Tomboy', 'Swordplay', 'Adoption', 'Trains', 'Cannibalism', 'Heterosexual', 'Desert', 'Tanned Skin', 'Vore', 'Tsundere', 'Crossdressing', 'Snowscape']",90.0,64.0,FINISHED,ANIME,https://anilist.co/anime/5114,['bones']
11757,11757.0,Sword Art Online,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...<br><br>
(Source: Crunchyroll)","['Action', 'Adventure', 'Fantasy', 'Romance']","['Virtual World', 'Isekai', 'Death Game', 'Video Games', 'Male Protagonist', 'Swordplay', 'Primarily Teen Cast', 'Heterosexual', 'Primarily Female Cast', 'Female Harem', 'Time Skip', 'Artificial Intelligence', 'Fairy', 'Found Family', 'Unrequited Love', 'Travel', 'Tragedy', 'Prison', 'Rescue', 'Fishing', 'Amnesia', 'Rape', 'Shounen', 'Primarily Male Cast', 'Inseki', 'Medieval']",69.0,25.0,FINISHED,ANIME,https://anilist.co/anime/11757,['A-1 Pictures']
